nacionalidad,sexo,pais_de_destino,periodo,total,fuente
Total,Ambos sexos,Gambia,2014,655,EM
Total,Ambos sexos,Gambia,2013,1130,EM
Total,Ambos sexos,Gambia,2012,1151,EM
Total,Ambos sexos,Gambia,2011,1237,EM
Total,Ambos sexos,Gambia,2010,996,EM
Total,Ambos sexos,Gambia,2009,703,EM
Total,Ambos sexos,Gambia,2008,556,EM
Total,Ambos sexos,Ghana,2020,150,EM
Total,Ambos sexos,Ghana,2019,128,EM
Total,Ambos sexos,Ghana,2018,230,EM
Total,Ambos sexos,Ghana,2017,347,EM
Total,Ambos sexos,Ghana,2016,287,EM
Total,Ambos sexos,Ghana,2015,335,EM
Total,Ambos sexos,Ghana,2014,420,EM
Total,Ambos sexos,Ghana,2013,1043,EM
Total,Ambos sexos,Ghana,2012,1174,EM
Total,Ambos sexos,Ghana,2011,764,EM
Total,Ambos sexos,Ghana,2010,815,EM
Total,Ambos sexos,Ghana,2009,739,EM
Total,Ambos sexos,Ghana,2008,438,EM
Total,Ambos sexos,Guinea,2020,64,EM
Total,Ambos sexos,Guinea,2019,174,EM
Total,Ambos sexos,Guinea,2018,182,EM
Total,Ambos sexos,Guinea,2017,168,EM
Total,Ambos sexos,Guinea,2016,189,EM
Total,Ambos sexos,Guinea,2015,252,EM
Total,Ambos sexos,Guinea,2014,193,EM
Total,Ambos sexos,Guinea,2013,712,EM
Total,Ambos sexos,Guinea,2012,373,EM
Total,Ambos sexos,Guinea,2011,384,EM
Total,Ambos sexos,Guinea,2010,407,EM
Total,Ambos sexos,Guinea,2009,416,EM
Total,Ambos sexos,Guinea,2008,345,EM
Total,Ambos sexos,Guinea Ecuatorial,2020,771,EM
Total,Ambos sexos,Guinea Ecuatorial,2019,922,EM
Total,Ambos sexos,Guinea Ecuatorial,2018,1412,EM
Total,Ambos sexos,Guinea Ecuatorial,2017,1336,EM
Total,Ambos sexos,Guinea Ecuatorial,2016,989,EM
Total,Ambos sexos,Guinea Ecuatorial,2015,709,EM
Total,Ambos sexos,Guinea Ecuatorial,2014,1194,EM
Total,Ambos sexos,Guinea Ecuatorial,2013,2008,EM
Total,Ambos sexos,Guinea Ecuatorial,2012,1729,EM
Total,Ambos sexos,Guinea Ecuatorial,2011,1881,EM
Total,Ambos sexos,Guinea Ecuatorial,2010,1857,EM
Total,Ambos sexos,Guinea Ecuatorial,2009,1934,EM
Total,Ambos sexos,Guinea Ecuatorial,2008,1466,EM
Total,Ambos sexos,Mali,2020,423,EM
Total,Ambos sexos,Mali,2019,468,EM
Total,Ambos sexos,Mali,2018,545,EM
Total,Ambos sexos,Mali,2017,729,EM
Total,Ambos sexos,Mali,2016,606,EM
Total,Ambos sexos,Mali,2015,569,EM
Total,Ambos sexos,Mali,2014,1119,EM
Total,Ambos sexos,Mali,2013,1899,EM
Total,Ambos sexos,Mali,2012,1647,EM
Total,Ambos sexos,Mali,2011,2108,EM
Total,Ambos sexos,Mali,2010,1464,EM
Total,Ambos sexos,Mali,2009,932,EM
Total,Ambos sexos,Mali,2008,909,EM
Total,Ambos sexos,Marruecos,2020,15933,EM
Total,Ambos sexos,Marruecos,2019,17209,EM
Total,Ambos sexos,Marruecos,2018,19141,EM
Total,Ambos sexos,Marruecos,2017,22008,EM
Total,Ambos sexos,Marruecos,2016,18341,EM
Total,Ambos sexos,Marruecos,2015,18276,EM
Total,Ambos sexos,Marruecos,2014,24359,EM
Total,Ambos sexos,Marruecos,2013,39864,EM
Total,Ambos sexos,Marruecos,2012,37585,EM
Total,Ambos sexos,Marruecos,2011,36997,EM
Total,Ambos sexos,Marruecos,2010,33349,EM
Total,Ambos sexos,Marruecos,2009,29480,EM
